text,label,source
"It may look like a mainframe, but it's anything but proprietary! Very cool IBM Great time to be a partner HighVail",0,human
"As I reflect on this semester, climate change has been cooked.",1,gemini
@user hi Eleanor! My birthday is next Wednesday and can you please say happy birthday to me. It would be a perfect gift! :) xx,0,human
"Police push for surveillance fee on customers' phone, Internet bills (Canadian Press) Canadian Press - OTTAWA (CP) - Canada's police chiefs propose a surcharge of about 25 cents on monthly telephone and Internet bills to cover the cost of tapping into the communications of terrorists and other criminals.",0,human
RT @user Have you heard about the epic new sci-fi adventure Terra Nova coming our way? Here's the 1st trailer (feats dinosaurs): ...,0,human
Oracle Releases New CRM Software (TechWeb) TechWeb - Integration of sales and marketing is key to new release.,0,human
okay the vibe shift from October to November is undefeated. the sky changes. the light changes. something in me rearranges.,1,claude
Afghan president gains backing of militia commanders ahead of polls (AFP) AFP - A lieutenant of powerful northern warlord General Abdul Rashid Dostam pledged to back incumbent Hamid Karzai in the upcoming presidential vote and said 149 other military commanders would join him.,0,human
honestly delete lobby rn 🥞,1,gemini
"""Texans Injury Report: Linebackers Jadeveon Clowney, Brian Cushing Both Sit Out Thursday: By the l... #NFL #Texans""",0,human
"""I remember the days of strong women in politics, Judy LaMarsh, Flora MacDonald, today's Maude Barlow, Eliizabeth May.  not liars Hebert!""",0,human
"""Miss last Friday's Soundboard, our partnership with @user and @user",0,human
some days you produce nothing of value and that's okay. you're not a factory.,1,claude
The pizza deployment was successful.,1,gemini
im sus but i have to cancel my email tmrw rip,1,gemini
"Progress Is Made Battling Strep Germ By LINDSEY TANNER     CHICAGO (AP) -- Scientists say they are making headway in developing a vaccine against a common strep germ, the cause of millions of sore throats as well as a deadly but uncommon flesh-eating disease.    A test of an experimental vaccine in just 28 people prompted an immune response with no serious side effects, but it's still not known if the shot would keep people from catching the strep germ...",0,human
"Mariah Carey: ""I really haven't paid attention to Madonna since about like 7th or 8th grade, when she used to be popular."" MELHOR SHADE",0,human
Celebrity Juice. Best thing on about a Thursday,0,human
Sometimes success looks boring from the outside because consistency isn’t dramatic.,1,gpt
GUYS... GUYS.... Sunday is the VMAs. I recommend you unfollow me now if you don't want tweets about Katy Perry's awesomeness in your feed.,0,human
The report highlights inequalities in access to education.,1,gpt
"Google IPO Moves Ahead Despite Playboy Interview Google Inc. (GOOG) forged ahead with its IPO auction Friday, even as the online search engine leader acknowledged a newly published magazine interview with its founders contained misleading information.",0,human
im insane but i have to destroy my lobby tmrw rip,1,gemini
Stocks Gain as Oil Prices Ease  NEW YORK (Reuters) - U.S. stocks gained on Monday as oil  prices dipped after reports of victory for the Venezuelan  president in a referendum on his rule eased fears about the  country's oil exports.,0,human
Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.,0,human
YTA. You shouldn't have ruined the game.,1,gemini
my sleep schedule is basically a random number generator at this point,1,gpt
"Hearing clue to whale evolution The evolution of whales from four-legged land dwellers into streamlined swimmers has been traced in fossilised ears, Nature reports.",0,human
Ryan Braun returned to the lineup on Wednesday after missing two games with lower back tightness.,0,human
studying OP is making me go exhausting,1,gemini
The professor’s jokes were terrible but somehow memorable.,1,gpt
Sometimes confidence is just pretending not to panic.,1,gpt
"Scientists Probe Pacific for Dead Zone (AP) AP - His hand on a toggle switch and his eyes on a computer screen, Oregon State University graduate student Anthony Kirincich uses an array of scientific instruments to probe the vibrant waters of the Pacific. He is searching for the absence of life.",0,human
'Charlie Hebdo' cartoonist Riad Sattouf discusses his memoir 'The Arab of the time of course,0,human
honestly skip wifi rn ☕,1,gemini
"As per my previous email regarding this meta, we need to align.",1,gemini
Chelsea Manning may face solitary confinement after caught with the Caitlyn Jenner Vanity Fair,0,human
Most Japanese Women Shun Birth Control Pill By AIKO HAYASHI    TOKYO (AP) -- Five years ago Japanese women's rights advocates won their battle to legalize the birth control pill. Now they are waging an even tougher fight - getting women to use it...,0,human
carry me through capitalism plz,1,gemini
"Progress Cargo Ship for ISS Launched From Russia MOSCOW (AP) -- A Russian cargo ship loaded with supplies and equipment blasted off from the Baikonour cosmodrome in Kazakhstan on Wednesday headed for the international space station, a Russian space official said.    The Progress M-50 ship took off at 1:03 a.m...",0,human
Tomorrow is International Talk Like A Pirate Day. Have I left it too late to become fluent in Somali? #TopSomalianLies,0,human
"Somewhere between gleam and gloom President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.",0,human
"Multi-head attention in transformer models allows the network to jointly attend to information from different representation subspaces at different positions, capturing diverse relationships in the data.",1,claude
"Higher oil prices to trim China's 2004 GDP growth (AFP) AFP - Surging oil prices could moderate China's economy this year as rising costs push inflation higher, hitting corporate profits and consumer pocket books, analysts and state press said.",0,human
Good luck to Cody Reichard & Scott Darling..1st day of training camp for the Montreal Canadiens' AHL affiliate-Hamilton Bulldogs. God Speed!,0,human
It's okay to feel hilarious sometimes.,1,gemini
Can someone explain why my mental health is so insane?,1,gemini
"If I fail the final boss, I'm dropping out 💀",1,gemini
Please review the attached wifi and provide your feedback by EOD.,1,gemini
The system design prioritizes scalability and maintainability.,1,gpt
"Gradient descent is an optimization algorithm that iteratively adjusts model parameters in the direction opposite to the gradient of the loss function, minimizing error over training iterations.",1,claude
My thesis explores the intersection of this professor and wifi.,1,gemini
Mosquito software bites smart phones A possible Trojan horse hidden in an illegal cell-phone game hits smart phones using the Symbian operating system.,0,human
Today is Thirsty Thursday! Get a beer + cold shot combo for only $5 all day long. Join us for the Green Bay...,0,human
if a function is doing more than one thing it's doing at least one wrong thing,1,claude
"Weak Version of Most Powerful Explosions Found (SPACE.com) SPACE.com - Gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole.",0,human
YTA. You shouldn't have watched the presentation.,1,gemini
"Palestinians in Israeli Jails Start Hunger Strike  RAMALLAH, West Bank (Reuters) - Thousands of Palestinian  prisoners in Israeli jails began a hunger strike for better  conditions on Sunday, but Israel's security minister said he  didn't care if they starved to death.",0,human
TIL that this code is actually goated.,1,gemini
The concept of sunk cost fallacy is intellectually easy to understand and emotionally almost impossible to apply in the moment.,1,claude
