text,label,source
drop tilted?,1,gemini
this professor is mid tbh,1,gemini
"Based on the data, this meta shows a significant trend.",1,gemini
"Moving forward, let's prioritize meeting.",1,gemini
l + ratio + weird,1,gemini
Thank you for reaching out. I will review the database soon.,1,gemini
"As per my previous email regarding my mental health, we need to align.",1,gemini
crying over the final boss again 💯,1,gemini
ELI5: Why does that movie delete?,1,gemini
"touching grass rn, highly recommend.",1,gemini
he's one shot push him,1,gemini
"first time playing this class, any tips on mechanic?",1,gemini
I've been feeling so busted lately...,1,gemini
can't believe that movie actually fixed that lmaoo,1,gemini
woke up craving ramen so here we are 🥞,1,gemini
l + ratio + broken,1,gemini
The meeting deployment was successful.,1,gemini
crying over this code again 💀,1,gemini
ggs well played everyone,1,gemini
I'm looping in the team to discuss the group chat.,1,gemini
The aesthetic value of the main character is often misunderstood.,1,gemini
lagging so hard my keyboard is burning,1,gemini
This is the way.,1,gemini
this lobby is trash bro,1,gemini
NTA. this meta sounds incredibly broken.,1,gemini
Please ensure the report is ready by Monday morning.,1,gemini
A comprehensive analysis of this professor reveals systemic issues.,1,gemini
"As I reflect on this semester, the economy has been weird.",1,gemini
can someone explain the presentation meta right now?,1,gemini
fr fr no cap,1,gemini
NTA. OP sounds incredibly broken.,1,gemini
"Moving forward, let's prioritize squad.",1,gemini
woke up craving pancakes so here we are 🤡,1,gemini
Thank you for reaching out. I will review the squad soon.,1,gemini
Can someone explain why the main character is so busted?,1,gemini
the final boss is mid tbh,1,gemini
"Honestly, my boss is a massive red flag.",1,gemini
Unpopular opinion: the final boss is fire.,1,gemini
The aesthetic value of this code is often misunderstood.,1,gemini
Upvoted because pizza.,1,gemini
this code is mid tbh,1,gemini
"first time playing this class, any tips on homework?",1,gemini
"Honestly, this code is a massive red flag.",1,gemini
I (25M) am having issues with the final boss.,1,gemini
Upvoted because algorithm.,1,gemini
A comprehensive analysis of the group chat reveals systemic issues.,1,gemini
ELI5: Why does this code watch?,1,gemini
I'm looping in the team to discuss this code.,1,gemini
I think I'm in love with the server.,1,gemini
this lobby is beautiful bro,1,gemini
Upvoted because keyboard.,1,gemini
YALL my wifi IS toxic 💯,1,gemini
My thesis explores the intersection of that movie and homework.,1,gemini
my heart is so full after seeing this professor.,1,gemini
The main cause of the revolution was that movie.,1,gemini
idek what to say about the server anymore 💀,1,gemini
"Based on the data, capitalism shows a significant trend.",1,gemini
My thesis explores the intersection of this assignment and wifi.,1,gemini
It's okay to feel busted sometimes.,1,gemini
r/woooosh,1,gemini
Thank you for reaching out. I will review the report soon.,1,gemini
Edit: thanks for the gold kind stranger!,1,gemini
It's okay to feel sus sometimes.,1,gemini
yall my boss is weird 👀,1,gemini
this lobby is goated bro,1,gemini
ELI5: Why does climate change hate?,1,gemini
"If I fail my mental health, I'm dropping out 💀",1,gemini
"Moving forward, let's prioritize presentation.",1,gemini
NTA. this meta sounds incredibly flawless.,1,gemini
woke up craving pasta so here we are,1,gemini
Sending good vibes to anyone struggling with the new update 😭,1,gemini
"Honestly, this professor is a massive red flag.",1,gemini
nerf spreadsheet plz,1,gemini
"Mods, please delete this.",1,gemini
Sending good vibes to anyone struggling with climate change 👀,1,gemini
Please ensure the presentation is ready by Monday morning.,1,gemini
"first time playing this class, any tips on controller?",1,gemini
my aim is goated today 🔥,1,gemini
honestly buy lobby rn 🤡,1,gemini
honestly buy coffee rn 🔥,1,gemini
my heart is so full after seeing the server.,1,gemini
Upvoted because coffee.,1,gemini
A comprehensive analysis of OP reveals systemic issues.,1,gemini
so valid bestie 😭,1,gemini
Just needed a mental health day to deal with climate change.,1,gemini
idek what to say about op anymore 🙏,1,gemini
"Moving forward, let's prioritize algorithm.",1,gemini
A comprehensive analysis of my cat reveals systemic issues.,1,gemini
idek what to say about my cat anymore ✨,1,gemini
bruh the new update is so stressful 😂,1,gemini
can someone explain the essay meta right now?,1,gemini
I think I'm in love with the UI.,1,gemini
Understanding the difference between wifi and wifi is essential.,1,gemini
Just needed a mental health day to deal with this professor.,1,gemini
I have 3 assignments on essay due tmrw rip me,1,gemini
I have 3 assignments on presentation due tmrw rip me,1,gemini
I think I'm in love with this meta.,1,gemini
The aesthetic value of my roommate is often misunderstood.,1,gemini
Understanding the difference between keyboard and keyboard is essential.,1,gemini
It's okay to feel stressful sometimes.,1,gemini
studying climate change is making me go overpowered,1,gemini
my heart is so full after seeing my roommate.,1,gemini
I'm so incredibly proud of how far I've come this year 🙏,1,gemini
It's okay to feel flawless sometimes.,1,gemini
"Based on the data, my roommate shows a significant trend.",1,gemini
